,factors_id,distance_threshold_multiplier,increment_threshold,lexicalization_noise_level,collocations_noise_level,concept_level_weights,message_id,message,concept_level_weights,threshold_per_concept,total_threshold,increment_threshold,semantic_noise,syntactic_noise,time,sentence_set,verdict,distance,length_of_sentence,depth_of_sentence,n_sub_trees,n_head_words,n_roots,n_leafs,verdict_success,verdict_one_word,verdict_failure
1,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",1,TEP SEGIRALEH FETETES NAGOLOMET METAR,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.700,Sines.,no more head words. failure,xxx,1,1,1,11,26,169,0,0,1
2,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",1,TEP SEGIRALEH FETETES NAGOLOMET METAR,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.980,Lir.,no more head words. failure,xxx,1,1,1,11,28,195,0,0,1
3,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",1,TEP SEGIRALEH FETETES NAGOLOMET METAR,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,1.650,Tizepat that lir and raranon which futebem and raranon.,success,1.689,5,3,1,3,14,116,1,0,0
4,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",1,TEP SEGIRALEH FETETES NAGOLOMET METAR,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.480,Remalom that futebem which lir that namololel which raranon.,success,1.176,5,5,1,8,23,165,1,0,0
5,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",1,TEP SEGIRALEH FETETES NAGOLOMET METAR,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.390,Mavumot that raranon which lir that futebem.,success,1.957,4,4,1,7,22,162,1,0,0
6,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",1,TEP SEGIRALEH FETETES NAGOLOMET METAR,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,3.000,Lerez that raranon.,no more head words. failure,xxx,2,2,1,11,30,195,0,0,1
7,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",1,TEP SEGIRALEH FETETES NAGOLOMET METAR,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,3.670,Senuwehad that futebem and raranon which lir and mavumot.,success,1.957,5,3,1,11,36,256,1,0,0
8,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",1,TEP SEGIRALEH FETETES NAGOLOMET METAR,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.130,Gogol that raranon and lir which namololel that namololel.,success,1.742,5,3,1,8,21,132,1,0,0
9,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",1,TEP SEGIRALEH FETETES NAGOLOMET METAR,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,1.320,Hetefum that raranon which namololel and lir that namololel.,success,1.777,5,4,1,4,12,80,1,0,0
10,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",1,TEP SEGIRALEH FETETES NAGOLOMET METAR,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.570,Sutir that namololel and lir which raranon and namololel.,success,1.797,5,3,1,8,25,172,1,0,0
