,factors_id,distance_threshold_multiplier,increment_threshold,lexicalization_noise_level,collocations_noise_level,concept_level_weights,message_id,message,concept_level_weights,threshold_per_concept,total_threshold,increment_threshold,semantic_noise,syntactic_noise,time,sentence_set,verdict,distance,length_of_sentence,depth_of_sentence,n_sub_trees,n_head_words,n_roots,n_leafs,verdict_success,verdict_one_word,verdict_failure
0,0,0.4,0.1,1,1,"[1, 1, 1, 1, 1]",0,DEFEN SUDINET NADOHEGAW NAMUB NESOTOS RADAP PITETOS TOS ROTENES TUWANOT NEDAWAT TEDIDOH DEW TAT DEBIG TEPIT FEK GAMOT,"[1, 1, 1, 1, 1]",0.40,7.20,0.1,1.000,1.000,20.150,Nineg that nen which nihitos and faped that nen and tiwanem and mereg that faped which mahos which nihitos which rimer that lewores and wigumonig which lulinut that tiwanem which nen that rimer. Gurutan that hikil and lenen. Guligut that mereg and hikil which hikil. Losur.,no more head words. failure,xxx,25,7,4,38,250,1495,0,0,1
1,0,0.4,0.1,1,1,"[1, 1, 1, 1, 1]",0,DEFEN SUDINET NADOHEGAW NAMUB NESOTOS RADAP PITETOS TOS ROTENES TUWANOT NEDAWAT TEDIDOH DEW TAT DEBIG TEPIT FEK GAMOT,"[1, 1, 1, 1, 1]",0.40,7.20,0.1,1.000,1.000,17.480,Gegotam that hikef and rimer and hikil which faped and pomapug and mahos that wos and mereg and faped which mahos and lulinut that lemew which nen and rapap which hikef. Hetamed. Mab that gun. Tigal that lenen and gurutan.,success,xxx,22,7,4,35,223,1270,1,0,0
2,0,0.4,0.1,1,1,"[1, 1, 1, 1, 1]",0,DEFEN SUDINET NADOHEGAW NAMUB NESOTOS RADAP PITETOS TOS ROTENES TUWANOT NEDAWAT TEDIDOH DEW TAT DEBIG TEPIT FEK GAMOT,"[1, 1, 1, 1, 1]",0.40,7.20,0.1,1.000,1.000,20.560,Nageb that nihitos and lemew which lulinut and mahos and rimer that lenen and lulinut and nen and lenen which tiwanem and lemew that nihitos which nos and lamun. Nesemos. Nudinut that lenen. Lemew.,no more head words. failure,xxx,19,5,4,44,256,1500,0,0,1
3,0,0.4,0.1,1,1,"[1, 1, 1, 1, 1]",0,DEFEN SUDINET NADOHEGAW NAMUB NESOTOS RADAP PITETOS TOS ROTENES TUWANOT NEDAWAT TEDIDOH DEW TAT DEBIG TEPIT FEK GAMOT,"[1, 1, 1, 1, 1]",0.40,7.20,0.1,1.000,1.000,17.030,Les that lenen and wigumonig which rimer and roman and roman that tekuz that nihitos and lulinut and nihitos that rimer. Zanam. Tomet that lenen which nihitos. Wosef that gun which gun.,success,xxx,18,5,4,34,218,1235,1,0,0
4,0,0.4,0.1,1,1,"[1, 1, 1, 1, 1]",0,DEFEN SUDINET NADOHEGAW NAMUB NESOTOS RADAP PITETOS TOS ROTENES TUWANOT NEDAWAT TEDIDOH DEW TAT DEBIG TEPIT FEK GAMOT,"[1, 1, 1, 1, 1]",0.40,7.20,0.1,1.000,1.000,19.010,Wigumonig that lemew which lewores and rapap that lulinut that hikil that tiwanem which nen that rimer which nihitos that wigumonig which tiwanem that hikef which mahos which nen that logel. Benazes. Doretalab. Pew that lenen and rulatonew.,success,xxx,21,7,4,37,244,1392,1,0,0
5,0,0.4,0.1,1,1,"[1, 1, 1, 1, 1]",0,DEFEN SUDINET NADOHEGAW NAMUB NESOTOS RADAP PITETOS TOS ROTENES TUWANOT NEDAWAT TEDIDOH DEW TAT DEBIG TEPIT FEK GAMOT,"[1, 1, 1, 1, 1]",0.40,7.20,0.1,1.000,1.000,20.520,Tolem. Lewores. Tiwanem that lulinut which lenen. Zedatetim.,no more head words. failure,xxx,6,4,4,41,256,1511,0,0,1
6,0,0.4,0.1,1,1,"[1, 1, 1, 1, 1]",0,DEFEN SUDINET NADOHEGAW NAMUB NESOTOS RADAP PITETOS TOS ROTENES TUWANOT NEDAWAT TEDIDOH DEW TAT DEBIG TEPIT FEK GAMOT,"[1, 1, 1, 1, 1]",0.40,7.20,0.1,1.000,1.000,13.920,Guseb that gegotam and wigumonig which nineg that lewores which wigumonig and lewores and lewores that mahos that mahos that rapap which lenen that tiwanem which lewores that lulinut which nihitos and nihitos and lulinut that rimer. Sadenet. Rulatonew. Merud that lenen and hikil.,success,xxx,24,6,4,35,166,971,1,0,0
7,0,0.4,0.1,1,1,"[1, 1, 1, 1, 1]",0,DEFEN SUDINET NADOHEGAW NAMUB NESOTOS RADAP PITETOS TOS ROTENES TUWANOT NEDAWAT TEDIDOH DEW TAT DEBIG TEPIT FEK GAMOT,"[1, 1, 1, 1, 1]",0.40,7.20,0.1,1.000,1.000,17.690,Fepeg that rapap which lulinut that guligut and tekuz which rapap and faped and mahos that nos which hikil that lemew that wigumonig and hikef. Suporumas that lenen and lenen. Bis. Wigumonig.,no more head words. failure,xxx,18,5,4,34,228,1291,0,0,1
8,0,0.4,0.1,1,1,"[1, 1, 1, 1, 1]",0,DEFEN SUDINET NADOHEGAW NAMUB NESOTOS RADAP PITETOS TOS ROTENES TUWANOT NEDAWAT TEDIDOH DEW TAT DEBIG TEPIT FEK GAMOT,"[1, 1, 1, 1, 1]",0.40,7.20,0.1,1.000,1.000,20.330,Mef that lamun which nos and rapap that nen which hikef that mahos that rapap which hikil that mereg which mereg that roman which rapap that fepeg which lewores which wos. Zadis. Wafehul. Nihitos.,no more head words. failure,xxx,19,6,4,44,249,1484,0,0,1
9,0,0.4,0.1,1,1,"[1, 1, 1, 1, 1]",0,DEFEN SUDINET NADOHEGAW NAMUB NESOTOS RADAP PITETOS TOS ROTENES TUWANOT NEDAWAT TEDIDOH DEW TAT DEBIG TEPIT FEK GAMOT,"[1, 1, 1, 1, 1]",0.40,7.20,0.1,1.000,1.000,19.040,Gegotam that lamun which nos that lenen and lemew that lamun that wos which lenen and gurutan and pomapug which mereg that nos. Lamun. Gewetas. Gun.,no more head words. failure,xxx,15,6,4,44,240,1364,0,0,1
